iter	Passed	Remaining
0	142	142576
1	143	71534
2	143	47848
3	144	35992
4	145	28884
5	145	24141
6	146	20752
7	146	18210
8	147	16234
9	148	14654
10	148	13359
11	149	12281
12	149	11369
13	150	10590
14	150	9912
15	151	9319
16	152	8800
17	152	8342
18	153	7948
19	154	7571
20	155	7228
21	155	6916
22	156	6630
23	156	6368
24	157	6127
25	157	5904
26	158	5698
27	158	5506
28	159	5329
29	159	5163
30	160	5008
31	160	4862
32	161	4725
33	161	4597
34	162	4475
35	162	4360
36	163	4251
37	163	4147
38	164	4049
39	164	3957
40	165	3869
41	166	3788
42	166	3708
43	167	3631
44	167	3557
45	168	3487
46	168	3419
47	169	3355
48	169	3293
49	170	3234
50	170	3177
51	171	3123
52	171	3071
53	172	3019
54	172	2970
55	173	2923
56	173	2877
57	174	2832
58	174	2789
59	175	2748
60	175	2707
61	176	2669
62	176	2632
63	177	2597
64	178	2562
65	178	2527
66	179	2494
67	179	2458
68	179	2427
69	180	2397
70	181	2369
71	181	2341
72	182	2314
73	182	2288
74	183	2265
75	184	2240
76	184	2215
77	185	2190
78	185	2167
79	186	2143
80	186	2120
81	187	2098
82	188	2077
83	188	2056
84	188	2034
85	189	2014
86	189	1992
87	190	1973
88	190	1954
89	191	1936
90	192	1918
91	192	1900
92	193	1882
93	193	1866
94	194	1849
95	194	1833
96	195	1817
97	195	1801
98	196	1786
99	196	1771
100	197	1756
101	197	1740
102	198	1725
103	198	1711
104	199	1698
105	199	1684
106	200	1671
107	200	1658
108	201	1645
109	201	1633
110	202	1621
111	202	1609
112	203	1596
113	203	1585
114	204	1573
115	204	1561
116	205	1550
117	205	1539
118	206	1527
119	206	1517
120	207	1506
121	207	1496
122	208	1484
123	208	1475
124	209	1465
125	209	1455
126	210	1446
127	210	1435
128	211	1426
129	211	1417
130	212	1408
131	212	1399
132	213	1390
133	213	1382
134	214	1373
135	214	1365
136	215	1357
137	215	1348
138	216	1340
139	216	1332
140	217	1324
141	217	1317
142	218	1309
143	219	1301
144	219	1294
145	220	1287
146	220	1279
147	221	1272
148	221	1265
149	222	1258
150	222	1252
151	223	1245
152	223	1238
153	224	1232
154	224	1225
155	225	1218
156	225	1212
157	226	1206
158	226	1199
159	227	1193
160	227	1187
161	228	1181
162	228	1175
163	229	1169
164	229	1163
165	230	1157
166	230	1151
167	231	1146
168	231	1140
169	232	1134
170	232	1129
171	233	1123
172	233	1118
173	234	1113
174	235	1107
175	235	1102
176	236	1097
177	236	1092
178	237	1087
179	237	1082
180	237	1076
181	238	1071
182	238	1066
183	239	1062
184	240	1057
185	240	1052
186	241	1048
187	241	1043
188	242	1039
189	242	1034
190	243	1030
191	243	1026
192	244	1021
193	244	1017
194	245	1013
195	246	1009
196	246	1004
197	247	1000
198	247	996
199	248	992
200	248	988
201	249	983
202	249	979
203	250	975
204	250	971
205	251	967
206	251	964
207	252	960
208	252	957
209	253	953
210	253	949
211	254	945
212	254	941
213	255	938
214	255	934
215	256	930
216	257	927
217	257	923
218	258	920
219	258	917
220	259	913
221	259	909
222	260	906
223	260	903
224	261	899
225	261	896
226	262	892
227	262	889
228	263	886
229	263	882
230	264	879
231	264	876
232	265	873
233	265	870
234	266	866
235	266	863
236	267	860
237	267	857
238	268	854
239	268	851
240	269	848
241	269	845
242	270	842
243	270	839
244	271	836
245	271	833
246	272	830
247	272	827
248	273	824
249	273	821
250	274	818
251	274	816
252	275	813
253	275	810
254	276	807
255	276	805
256	277	802
257	278	799
258	278	796
259	279	794
260	279	791
261	280	788
262	280	786
263	281	783
264	281	781
265	282	778
266	282	775
267	283	773
268	283	770
269	284	768
270	284	765
271	285	763
272	285	760
273	286	758
274	286	755
275	287	753
276	287	750
277	288	748
278	288	746
279	289	744
280	289	741
281	290	739
282	290	736
283	291	734
284	291	732
285	292	729
286	292	727
287	293	725
288	293	723
289	294	720
290	294	718
291	295	716
292	296	714
293	296	712
294	297	709
295	297	707
296	298	705
297	298	703
298	299	701
299	299	698
300	300	696
301	300	694
302	301	692
303	301	690
304	302	688
305	302	686
306	303	684
307	303	682
308	304	680
309	304	678
310	305	676
311	305	674
312	306	672
313	306	669
314	307	668
315	307	666
316	308	664
317	308	662
318	309	660
319	309	658
320	310	656
321	310	654
322	311	652
323	311	650
324	312	648
325	313	647
326	313	645
327	314	643
328	314	641
329	315	639
330	315	637
331	316	636
332	316	634
333	317	632
334	317	630
335	318	628
336	318	627
337	319	625
338	319	623
339	320	621
340	320	619
341	321	618
342	321	616
343	322	614
344	322	612
345	323	611
346	323	609
347	324	607
348	324	605
349	325	604
350	325	602
351	326	600
352	326	599
353	327	597
354	327	595
355	328	594
356	328	592
357	329	590
358	329	589
359	330	587
360	330	585
361	331	584
362	331	582
363	332	580
364	332	579
365	333	577
366	333	576
367	334	574
368	334	572
369	335	571
370	336	569
371	336	568
372	337	566
373	337	565
374	338	563
375	338	562
376	339	560
377	339	559
378	340	557
379	340	556
380	341	554
381	342	553
382	342	551
383	343	550
384	343	548
385	344	547
386	344	546
387	345	544
388	345	543
389	346	541
390	346	540
391	347	538
392	347	537
393	348	535
394	348	534
395	349	532
396	349	531
397	350	529
398	350	528
399	351	527
400	352	525
401	352	524
402	353	523
403	353	521
404	354	520
405	354	519
406	355	517
407	355	516
408	356	515
409	356	513
410	357	512
411	357	510
412	358	509
413	358	508
414	359	506
415	360	505
416	360	504
417	361	502
418	361	501
419	362	499
420	362	498
421	363	497
422	363	496
423	364	494
424	364	493
425	365	491
426	365	490
427	366	489
428	366	488
429	367	486
430	367	485
431	368	484
432	368	482
433	369	481
434	369	480
435	370	479
436	370	477
437	371	476
438	371	475
439	372	473
440	372	472
441	373	471
442	373	470
443	374	468
444	374	467
445	375	466
446	375	465
447	376	463
448	377	462
449	377	461
450	378	460
451	378	459
452	379	457
453	379	456
454	380	455
455	380	454
456	381	452
457	381	451
458	382	450
459	382	449
460	383	448
461	383	446
462	384	445
463	385	444
464	385	443
465	386	442
466	386	441
467	387	440
468	387	438
469	388	437
470	388	436
471	389	435
472	389	434
473	390	433
474	390	432
475	391	430
476	391	429
477	392	428
478	392	427
479	393	426
480	393	425
481	394	424
482	395	422
483	395	421
484	396	420
485	396	419
486	397	418
487	397	417
488	398	416
489	398	415
490	399	413
491	399	412
492	400	411
493	400	410
494	401	409
495	401	408
496	402	407
497	402	406
498	403	405
499	403	403
500	404	402
501	404	401
502	405	400
503	405	399
504	406	398
505	407	397
506	407	396
507	408	395
508	408	394
509	409	393
510	409	391
511	410	390
512	410	389
513	411	388
514	411	387
515	412	386
516	412	385
517	413	384
518	413	383
519	414	382
520	414	381
521	415	380
522	415	379
523	416	378
524	416	377
525	417	376
526	417	375
527	418	374
528	418	373
529	419	371
530	419	370
531	420	369
532	421	368
533	421	367
534	422	366
535	422	365
