iter	Passed	Remaining
0	134	134609
1	135	67527
2	135	45162
3	136	34005
4	137	27345
5	138	22879
6	138	19680
7	139	17272
8	139	15397
9	140	13895
10	140	12667
11	141	11643
12	141	10776
13	142	10034
14	145	9576
15	146	9008
16	147	8503
17	147	8052
18	148	7649
19	148	7285
20	149	6970
21	151	6721
22	151	6450
23	152	6199
24	152	5966
25	153	5751
26	154	5550
27	154	5370
28	155	5200
29	156	5052
30	156	4903
31	157	4762
32	157	4629
33	158	4503
34	159	4386
35	159	4275
36	160	4169
37	160	4071
38	161	3979
39	162	3888
40	162	3802
41	163	3722
42	163	3646
43	164	3573
44	165	3501
45	165	3432
46	166	3368
47	166	3305
48	167	3244
49	167	3191
50	168	3138
51	169	3085
52	169	3034
53	170	2985
54	170	2937
55	171	2891
56	172	2845
57	172	2802
58	173	2760
59	173	2719
60	178	2752
61	179	2715
62	180	2678
63	180	2643
64	182	2628
65	183	2595
66	183	2561
67	184	2529
68	185	2498
69	185	2467
70	186	2438
71	187	2410
72	187	2384
73	188	2357
74	189	2331
75	189	2307
76	190	2281
77	190	2256
78	191	2231
79	191	2207
80	192	2184
81	193	2163
82	193	2139
83	194	2118
84	194	2097
85	195	2076
86	195	2056
87	196	2035
88	196	2016
89	197	1996
90	197	1977
91	198	1960
92	199	1944
93	200	1928
94	200	1911
95	201	1895
96	201	1880
97	202	1864
98	203	1848
99	203	1832
100	204	1817
101	204	1804
102	205	1791
103	206	1777
104	206	1763
105	207	1749
106	208	1736
107	208	1723
108	209	1709
109	209	1696
110	210	1683
111	210	1670
112	211	1658
113	212	1649
114	212	1637
115	213	1626
116	213	1613
117	214	1602
118	215	1592
119	215	1581
120	216	1570
121	216	1558
122	217	1548
123	217	1539
124	218	1529
125	219	1519
126	219	1509
127	220	1499
128	220	1490
129	221	1481
130	221	1472
131	222	1462
132	222	1453
133	223	1445
134	224	1437
135	224	1428
136	225	1419
137	225	1411
138	226	1402
139	227	1394
140	227	1386
141	227	1377
142	228	1369
143	229	1361
144	230	1360
145	231	1353
146	231	1346
147	232	1338
148	233	1331
149	233	1323
150	234	1316
151	234	1309
152	235	1302
153	236	1297
154	237	1292
155	237	1286
156	238	1279
157	238	1272
158	239	1266
159	239	1259
160	240	1252
161	240	1246
162	241	1239
163	242	1233
164	242	1229
165	243	1224
166	244	1218
167	244	1212
168	245	1206
169	245	1200
170	246	1195
171	247	1189
172	247	1183
173	248	1178
174	248	1173
175	249	1168
176	250	1163
177	250	1157
178	251	1152
179	251	1146
180	252	1141
181	252	1136
182	253	1131
183	253	1126
184	254	1121
185	255	1116
186	255	1111
187	256	1106
188	257	1103
189	257	1098
190	258	1093
191	258	1088
192	259	1084
193	259	1079
194	260	1075
195	262	1076
196	263	1073
197	263	1068
198	264	1063
199	264	1059
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	267	1038
205	268	1034
206	268	1030
207	269	1025
208	269	1021
209	270	1017
210	271	1013
211	271	1010
212	272	1006
213	272	1002
214	273	998
215	273	994
216	274	990
217	274	986
218	275	982
219	276	978
220	276	974
221	277	971
222	277	967
223	278	964
224	278	960
225	279	957
226	279	953
227	280	949
228	281	946
229	281	942
230	282	939
231	282	935
232	283	931
233	283	929
234	284	926
235	285	923
236	285	919
237	286	916
238	286	913
239	287	909
240	287	906
241	288	903
242	289	900
243	290	900
244	292	900
245	292	897
246	293	894
247	293	890
248	294	887
249	294	884
250	295	881
251	296	878
252	296	876
253	297	873
254	297	870
255	298	867
256	299	864
257	299	861
258	300	859
259	300	856
260	301	853
261	301	850
262	302	847
263	303	845
264	303	842
265	304	839
266	304	836
267	305	833
268	305	831
269	306	828
270	306	825
271	307	822
272	308	820
273	308	817
274	309	815
275	309	812
276	310	809
277	310	807
278	311	804
279	311	801
280	312	799
281	313	796
282	313	794
283	315	794
284	315	792
285	316	790
286	317	788
287	317	785
288	318	783
289	318	780
290	319	778
291	319	775
292	320	774
293	321	772
294	322	769
295	322	767
296	323	765
297	323	762
298	324	760
299	324	757
300	325	755
301	325	753
302	326	751
303	327	749
304	328	747
305	328	745
306	329	743
307	329	741
308	330	738
309	330	736
310	331	734
311	331	732
312	332	729
313	333	728
314	333	726
315	334	724
316	335	721
317	335	719
318	336	717
319	336	715
320	337	713
321	337	711
322	338	708
323	338	707
324	339	705
325	340	703
326	340	701
327	341	699
328	341	697
329	342	695
330	342	692
331	343	690
332	343	688
333	344	686
334	344	684
335	345	683
336	346	681
337	346	679
338	347	677
339	347	675
340	348	673
341	349	671
342	349	669
343	350	667
344	350	665
345	353	668
346	354	667
347	355	665
348	356	664
349	356	662
350	357	660
351	357	658
352	358	656
353	358	655
354	359	653
355	360	651
356	360	649
357	361	647
358	361	645
359	362	644
360	362	642
361	363	640
362	364	638
363	364	637
364	365	635
365	365	633
366	366	631
367	366	630
368	367	628
369	368	626
370	368	624
371	369	623
372	369	621
373	370	619
374	371	618
375	371	616
376	372	614
377	372	613
378	373	611
379	373	609
380	374	608
381	374	606
382	375	604
383	375	603
384	376	601
385	377	600
386	377	598
387	378	596
388	378	595
389	379	593
390	380	591
391	380	590
392	381	588
393	381	586
394	384	589
395	386	589
396	387	587
397	387	586
398	388	584
399	388	583
400	389	581
401	390	580
402	390	578
403	391	577
404	391	575
405	392	574
406	393	572
407	393	570
408	394	569
409	394	568
410	395	566
411	395	565
412	396	563
413	397	562
414	397	560
415	398	559
416	398	557
417	399	556
418	399	554
419	400	553
420	401	551
421	401	550
422	402	548
423	402	547
424	403	545
425	404	544
426	404	542
427	405	541
428	405	539
429	406	538
430	407	537
431	415	546
432	416	545
433	417	544
434	418	543
435	418	541
436	419	540
437	420	539
438	420	537
439	421	536
440	422	535
441	422	533
442	423	532
443	423	530
444	424	529
445	425	527
446	425	526
447	426	525
448	427	524
449	427	522
450	428	521
451	428	520
452	429	518
453	430	517
454	430	515
455	431	514
456	431	513
457	432	512
458	433	510
459	434	509
460	434	508
461	435	506
462	435	505
463	436	504
464	436	502
465	437	501
466	438	500
467	439	499
468	440	498
469	440	497
470	441	495
471	442	494
472	442	493
473	443	491
474	443	490
475	445	490
476	446	489
477	447	488
478	448	487
479	448	486
480	449	484
481	449	483
482	450	481
483	450	480
484	451	479
485	452	478
486	452	476
487	453	475
488	453	474
489	454	472
490	454	471
491	455	470
492	456	468
493	456	467
494	457	466
495	457	465
496	458	464
497	459	462
498	459	461
499	460	460
500	460	459
501	461	457
502	461	456
503	462	455
504	463	454
505	463	452
506	464	451
507	465	450
508	465	449
509	466	448
510	467	446
511	467	445
512	468	444
513	468	443
514	469	442
515	470	441
516	471	440
517	471	439
518	472	438
519	473	436
520	473	435
521	474	434
522	474	432
523	475	431
524	476	431
525	477	430
526	478	429
527	478	428
528	479	426
529	480	425
530	480	424
531	481	423
532	482	422
533	482	421
534	483	420
535	484	419
536	484	418
537	485	416
538	486	415
539	486	414
540	487	413
541	487	412
542	488	410
543	488	409
544	489	408
545	490	407
546	490	406
547	491	405
548	491	403
549	492	402
550	492	401
551	493	400
552	494	399
553	494	398
554	495	397
555	496	396
556	496	394
557	497	393
558	497	392
559	498	391
560	498	390
561	499	389
562	499	387
563	505	390
564	505	389
565	506	388
566	507	387
567	507	386
568	508	385
569	509	384
570	509	382
571	510	381
572	510	380
573	511	379
574	511	378
575	512	377
576	513	376
577	513	375
578	514	374
579	515	373
580	515	371
581	516	370
582	516	369
583	517	368
584	518	367
585	518	366
586	519	365
587	519	364
588	520	363
589	520	362
590	521	360
591	522	359
592	522	358
593	523	357
594	523	356
595	524	355
596	524	354
597	525	353
598	526	352
599	527	351
600	527	350
601	528	349
602	529	348
603	529	347
